Ticker,Volatility_Annualized,Volatility_Percent
AAPL,0.28638534802919957,28.638534802919956
MSFT,0.3021459482226601,30.21459482226601
GOOGL,0.34374032586671227,34.37403258667123
AMZN,0.4194657537188699,41.94657537188699
META,0.5424286027770889,54.24286027770889
NVDA,0.5505010114863034,55.05010114863034
TSLA,0.6020489413084895,60.20489413084895
AVGO,0.3413563181847774,34.13563181847774
CSCO,0.25218841815721366,25.218841815721365
ADBE,0.3892913715980407,38.92913715980407
JPM,0.2532146160729888,25.32146160729888
V,0.2401887511809295,24.01887511809295
MA,0.2551439237389354,25.51439237389354
PG,0.18528924921816814,18.528924921816813
KO,0.16674853586072838,16.67485358607284
PEP,0.17175136120656667,17.175136120656667
JNJ,0.1668640063931292,16.68640063931292
WMT,0.21849865774773555,21.849865774773555
DIS,0.3200351395405166,32.00351395405166
PFE,0.24725605035138823,24.725605035138823
SAN.MC,0.3191113797403208,31.911137974032076
BBVA.MC,0.30857249933816555,30.857249933816554
TEF.MC,0.2080762004128034,20.807620041280337
ITX.MC,0.25499775229137334,25.499775229137335
REP.MC,0.29484984472766335,29.484984472766335
IBE.MC,0.20125899554266247,20.125899554266248
CABK.MC,0.32660934606281977,32.66093460628198
SAB.MC,0.42035644267249767,42.035644267249765
ACS.MC,0.20168851998902118,20.168851998902117
FER.MC,0.2064010583832271,20.640105838322707
NFLX,0.5829942414418169,58.299424144181685
INTC,0.37914995263500284,37.91499526350029
AMD,0.5377985767041964,53.77985767041964
QCOM,0.3937785506726289,39.37785506726289
TXN,0.27868768309534275,27.868768309534275
HON,0.2160763293326092,21.60763293326092
AMGN,0.2080403766456498,20.80403766456498
SBUX,0.2943789830721597,29.43789830721597
MDLZ,0.18989740073415592,18.989740073415593
GILD,0.22378645566328104,22.378645566328103
