Ticker,Volatility_Annualized,Volatility_Percent
AAPL,0.46133901259504384,46.133901259504384
MSFT,0.4347795957813714,43.47795957813714
GOOGL,0.3815166683524068,38.151666835240675
AMZN,0.37969502018230317,37.969502018230315
META,0.45531673835562414,45.531673835562415
NVDA,0.5744253951385445,57.44253951385445
TSLA,0.884931206553973,88.49312065539729
AVGO,0.5159580614003872,51.595806140038725
CSCO,0.41486538083408137,41.486538083408135
ADBE,0.47255596943792433,47.25559694379243
JPM,0.5358072923030393,53.58072923030392
V,0.42146047869352976,42.14604786935298
MA,0.4808241884201316,48.082418842013155
PG,0.31985319474282126,31.985319474282125
KO,0.3444100160353976,34.44100160353976
PEP,0.36232819657843895,36.2328196578439
JNJ,0.2983441684176567,29.83441684176567
WMT,0.3079301644161335,30.793016441613354
DIS,0.4809724594136306,48.097245941363056
PFE,0.35313556129937,35.313556129937
SAN.MC,0.5738427041018713,57.384270410187135
BBVA.MC,0.5933642230805716,59.33642230805716
TEF.MC,0.48217092288079527,48.21709228807953
ITX.MC,0.4043889299434463,40.43889299434463
REP.MC,0.5753254150482956,57.53254150482956
IBE.MC,0.3186894755033882,31.868947550338824
CABK.MC,0.525064690863979,52.5064690863979
SAB.MC,0.7574149637146149,75.7414963714615
ACS.MC,0.6442287489594475,64.42287489594474
FER.MC,0.41183867809596864,41.18386780959686
NFLX,0.45658155746745754,45.658155746745756
INTC,0.5332847929428279,53.32847929428279
AMD,0.60100827227566,60.100827227566
QCOM,0.5194822387618726,51.948223876187264
TXN,0.42511318702038703,42.5113187020387
HON,0.4469262300596,44.69262300596
AMGN,0.37566891159700155,37.566891159700155
SBUX,0.4508126201854295,45.08126201854295
MDLZ,0.33602392121979835,33.60239212197983
GILD,0.36835619725291063,36.83561972529106
