Ticker,Volatility_Annualized,Volatility_Percent
AAPL,0.2599608052108719,25.99608052108719
MSFT,0.19583496306737042,19.583496306737043
GOOGL,0.23356881667179982,23.356881667179984
AMZN,0.2251819723616884,22.51819723616884
META,0.27194718539142726,27.194718539142727
NVDA,0.4027688818080541,40.27688818080541
TSLA,0.4839122652390727,48.39122652390727
AVGO,0.2933867841512574,29.33867841512574
CSCO,0.24325719769514612,24.325719769514613
ADBE,0.23514987187182307,23.514987187182307
JPM,0.18394931750444216,18.394931750444215
V,0.17823601875213255,17.823601875213253
MA,0.2113157395766988,21.13157395766988
PG,0.162517518108406,16.251751810840602
KO,0.16892668596775326,16.892668596775327
PEP,0.1367032694442278,13.670326944422781
JNJ,0.16328362026542056,16.328362026542056
WMT,0.14145681269651955,14.145681269651956
DIS,0.21918962705068484,21.918962705068484
PFE,0.18870312511855922,18.87031251185592
SAN.MC,0.24355822802385158,24.35582280238516
BBVA.MC,0.23932148399188177,23.932148399188176
TEF.MC,0.17110226809644472,17.110226809644473
ITX.MC,0.20966832263541624,20.966832263541622
REP.MC,0.18915000232847795,18.915000232847795
IBE.MC,0.13953407892790134,13.953407892790134
CABK.MC,0.31155654950249206,31.155654950249208
SAB.MC,0.3677886067702356,36.77886067702356
ACS.MC,0.21313068720822725,21.313068720822727
FER.MC,0.16168569355264237,16.168569355264236
NFLX,0.34234264687808985,34.23426468780899
INTC,0.26815726303025045,26.815726303025045
AMD,0.5200709394850438,52.00709394850438
QCOM,0.3803012589116252,38.03012589116252
TXN,0.26456470830070594,26.456470830070593
HON,0.1712014526953447,17.12014526953447
AMGN,0.20558457823302612,20.55845782330261
SBUX,0.18907818035603416,18.907818035603416
MDLZ,0.15150726506409878,15.150726506409878
GILD,0.2095999415109316,20.95999415109316
